id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,lic,q,length,time,date,uploaded,rmk,bird-seen,playback-used
268522,Accipiter,hiogaster,,Variable Goshawk,Peter Ericsson,Indonesia,Kisol; Flores,-8.8037,120.6601,160,call,//www.xeno-canto.org/268522,//www.xeno-canto.org/268522/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:16,08:30,2015-08-01,2015-08-16,,yes,no
205219,Accipiter,hiogaster,,Variable Goshawk,Mike Nelson,Indonesia,Yamdena; West Maluku Tenggara; Maluku,-7.8679,131.2988,90,call,//www.xeno-canto.org/205219,//www.xeno-canto.org/205219/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:08,09:30,2014-10-20,2014-12-04,,no,no
203951,Accipiter,hiogaster,,Variable Goshawk,Mike Nelson,Indonesia,Weda; Central Halmahera; North Maluku,0.4218,127.9019,80,call; song,//www.xeno-canto.org/203951,//www.xeno-canto.org/203951/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:51,09:30,2014-09-22,2014-11-26,,yes,yes
203950,Accipiter,hiogaster,,Variable Goshawk,Mike Nelson,Indonesia,Weda; Central Halmahera; North Maluku,0.4218,127.9019,80,call; song,//www.xeno-canto.org/203950,//www.xeno-canto.org/203950/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,1:00,09:30,2014-09-22,2014-11-26,,yes,yes
203949,Accipiter,hiogaster,,Variable Goshawk,Mike Nelson,Indonesia,Weda; Central Halmahera; North Maluku,0.4218,127.9019,80,call; song,//www.xeno-canto.org/203949,//www.xeno-canto.org/203949/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,5:16,09:30,2014-09-22,2014-11-26,,yes,yes
202372,Accipiter,hiogaster,mortyi,Variable Goshawk,Frank Lambert,Indonesia,Morotai; c km3 north of Sidowa; North Maluku,2.1402,128.5654,170,song,//www.xeno-canto.org/202372,//www.xeno-canto.org/202372/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:33,06:32,2014-09-07,2014-11-13,Bird not seen well; but this species seen in this vicinity an hour later. The sounds are a good match for other recordings of this taxon on XC.,yes,no
196869,Accipiter,hiogaster,,Variable Goshawk,Paulo Alves,Indonesia,South Wasile; East Halmahera; North Maluku,0.7332,127.8029,50,alarm call; call,//www.xeno-canto.org/196869,//www.xeno-canto.org/196869/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:16,12:00,2014-07-20,2014-09-28,Bird calling near the nest. Two birds heard; probably male and female.,no,no
196868,Accipiter,hiogaster,,Variable Goshawk,Paulo Alves,Indonesia,South Wasile; East Halmahera; North Maluku,0.7332,127.8029,50,alarm call,//www.xeno-canto.org/196868,//www.xeno-canto.org/196868/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:35,12:00,2014-07-20,2014-09-28,Bird calling near the nest. Two birds heard; probably male and female.,no,no
194524,Accipiter,hiogaster,mortyi,Variable Goshawk,Marc Thibault,Indonesia,East Morotai; Morotai Island; North Maluku,2.1862,128.5764,c.170,call; juvenile,//www.xeno-canto.org/194524,//www.xeno-canto.org/194524/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:13,10:20,2014-06-30,2014-09-07,Call (begging call ?) from perched (already flying) juvenile. Adult also seen nearby. In logged forest; second growth and clearings.,yes,no
194522,Accipiter,hiogaster,mortyi,Variable Goshawk,Marc Thibault,Indonesia,East Morotai; Morotai Island; North Maluku,2.1862,128.5764,c.170,call; juvenile,//www.xeno-canto.org/194522,//www.xeno-canto.org/194522/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:44,10:05,2014-06-30,2014-09-07,Call (begging call ?) of a percheed (already flying) juvenile. Adult also seen nearby. In patchy area with logged forest; second growth and clearings,yes,no
194519,Accipiter,hiogaster,mortyi,Variable Goshawk,Marc Thibault,Indonesia,East Morotai; Morotai Island; North Maluku,2.1862,128.5764,c.170,call,//www.xeno-canto.org/194519,//www.xeno-canto.org/194519/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:45,10:00,2014-06-30,2014-09-07,Call (possibly begging call) from perched (already flying) juvenile. Adult also seen nearby. In patchy area with logged forest; second growth and clearings,yes,no
193821,Accipiter,hiogaster,griseogularis,Variable Goshawk,Frank Lambert,Indonesia,north of Weda Resort; Central Halmahera; North Maluku (approx location),0.4582,127.8824,120,call,//www.xeno-canto.org/193821,//www.xeno-canto.org/193821/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:06,09:09,2014-08-26,2014-09-02,,yes,no
151763,Accipiter,hiogaster,,Variable Goshawk,Mike Nelson,Indonesia,Weda; Central Halmahera; North Maluku,0.4218,127.9019,200,call,//www.xeno-canto.org/151763,//www.xeno-canto.org/151763/download,//creativecommons.org/licenses/by-nc-sa/3.0/,B,2:35,11:30,2013-09-17,2013-10-17,Two perched birds but only one visible,yes,no
